,date,tobs,year,month,month_name
0,2010-06-01,78.0,2010,06,June
1,2010-06-02,76.0,2010,06,June
2,2010-06-03,78.0,2010,06,June
3,2010-06-04,76.0,2010,06,June
4,2010-06-05,77.0,2010,06,June
5,2010-06-06,78.0,2010,06,June
6,2010-06-07,77.0,2010,06,June
7,2010-06-08,78.0,2010,06,June
8,2010-06-09,78.0,2010,06,June
9,2010-06-10,79.0,2010,06,June
10,2010-06-11,78.0,2010,06,June
11,2010-06-12,78.0,2010,06,June
12,2010-06-13,78.0,2010,06,June
13,2010-06-14,77.0,2010,06,June
14,2010-06-15,78.0,2010,06,June
15,2010-06-16,78.0,2010,06,June
16,2010-06-17,77.0,2010,06,June
17,2010-06-18,77.0,2010,06,June
18,2010-06-19,82.0,2010,06,June
19,2010-06-20,78.0,2010,06,June
20,2010-06-21,78.0,2010,06,June
21,2010-06-22,78.0,2010,06,June
22,2010-06-23,78.0,2010,06,June
23,2010-06-24,78.0,2010,06,June
24,2010-06-25,77.0,2010,06,June
25,2010-06-26,76.0,2010,06,June
26,2010-06-27,78.0,2010,06,June
27,2010-06-28,78.0,2010,06,June
28,2010-06-29,78.0,2010,06,June
29,2010-06-30,78.0,2010,06,June
30,2010-12-01,76.0,2010,12,December
31,2010-12-03,74.0,2010,12,December
32,2010-12-04,74.0,2010,12,December
33,2010-12-06,64.0,2010,12,December
34,2010-12-07,64.0,2010,12,December
35,2010-12-08,67.0,2010,12,December
36,2010-12-09,77.0,2010,12,December
37,2010-12-10,66.0,2010,12,December
38,2010-12-11,69.0,2010,12,December
39,2010-12-12,68.0,2010,12,December
40,2010-12-13,68.0,2010,12,December
41,2010-12-14,71.0,2010,12,December
42,2010-12-15,74.0,2010,12,December
43,2010-12-16,67.0,2010,12,December
44,2010-12-17,66.0,2010,12,December
45,2010-12-18,69.0,2010,12,December
46,2010-12-19,71.0,2010,12,December
47,2010-12-23,70.0,2010,12,December
48,2010-12-24,70.0,2010,12,December
49,2010-12-26,74.0,2010,12,December
50,2010-12-27,74.0,2010,12,December
51,2010-12-28,71.0,2010,12,December
52,2010-12-29,75.0,2010,12,December
53,2010-12-30,75.0,2010,12,December
54,2010-12-31,72.0,2010,12,December
55,2011-06-01,77.0,2011,06,June
56,2011-06-02,78.0,2011,06,June
57,2011-06-03,73.0,2011,06,June
58,2011-06-04,70.0,2011,06,June
59,2011-06-05,76.0,2011,06,June
60,2011-06-06,77.0,2011,06,June
61,2011-06-07,77.0,2011,06,June
62,2011-06-08,77.0,2011,06,June
63,2011-06-09,77.0,2011,06,June
64,2011-06-10,78.0,2011,06,June
65,2011-06-11,77.0,2011,06,June
66,2011-06-12,77.0,2011,06,June
67,2011-06-13,78.0,2011,06,June
68,2011-06-14,78.0,2011,06,June
69,2011-06-15,77.0,2011,06,June
70,2011-06-17,78.0,2011,06,June
71,2011-06-18,78.0,2011,06,June
72,2011-06-19,75.0,2011,06,June
73,2011-06-20,76.0,2011,06,June
74,2011-06-21,76.0,2011,06,June
75,2011-06-24,77.0,2011,06,June
76,2011-06-25,78.0,2011,06,June
77,2011-06-26,76.0,2011,06,June
78,2011-06-27,77.0,2011,06,June
79,2011-06-28,75.0,2011,06,June
80,2011-06-29,77.0,2011,06,June
81,2011-12-01,69.0,2011,12,December
82,2011-12-02,68.0,2011,12,December
83,2011-12-03,73.0,2011,12,December
84,2011-12-04,74.0,2011,12,December
85,2011-12-05,73.0,2011,12,December
86,2011-12-06,73.0,2011,12,December
87,2011-12-07,73.0,2011,12,December
88,2011-12-08,73.0,2011,12,December
89,2011-12-09,71.0,2011,12,December
