City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Longyearbyen,SJ,2021-09-22 16:10:38,78.2186,15.6401,42.64,70,75,21.85
1,Butaritari,KI,2021-09-22 16:10:39,3.0707,172.7902,82.49,74,100,16.33
2,Cape Town,ZA,2021-09-22 16:05:59,-33.9258,18.4232,70.88,54,71,3.0
3,Halden,NO,2021-09-22 16:10:39,59.1226,11.3871,64.9,89,80,14.0
4,Bambous Virieux,MU,2021-09-22 16:10:39,-20.3428,57.7575,73.22,65,39,15.46
5,Barrow,US,2021-09-22 16:10:01,71.2906,-156.7887,30.22,86,90,21.85
6,Victoria,HK,2021-09-22 16:10:40,22.2855,114.1577,87.33,83,35,12.15
7,Bredasdorp,ZA,2021-09-22 16:10:40,-34.5322,20.0403,68.29,75,58,8.9
8,Ushuaia,AR,2021-09-22 16:07:49,-54.8,-68.3,56.86,51,75,5.75
9,Kieta,PG,2021-09-22 16:10:40,-6.2167,155.6333,76.91,85,97,3.78
10,Matara,LK,2021-09-22 16:10:41,5.9485,80.5353,80.02,88,16,8.08
11,Atuona,PF,2021-09-22 16:10:41,-9.8,-139.0333,76.84,79,33,21.12
12,Tessalit,ML,2021-09-22 16:10:41,20.1986,1.0114,104.32,6,1,7.83
13,Hasaki,JP,2021-09-22 16:10:42,35.7333,140.8333,75.6,87,87,20.74
14,Belaya Gora,RU,2021-09-22 16:10:42,68.5333,146.4167,31.87,69,76,3.85
15,Mahebourg,MU,2021-09-22 16:10:42,-20.4081,57.7,73.26,65,30,15.68
16,Nurobod,UZ,2021-09-22 16:10:42,40.9056,69.8023,70.65,23,0,1.79
17,Arraial Do Cabo,BR,2021-09-22 16:10:43,-22.9661,-42.0278,73.26,56,75,18.41
18,Sorong,ID,2021-09-22 16:10:43,-0.8833,131.25,78.69,83,18,5.57
19,Cherskiy,RU,2021-09-22 16:10:43,68.75,161.3,29.79,61,100,4.5
20,Halifax,CA,2021-09-22 16:10:43,44.6453,-63.5724,71.69,70,4,5.01
21,Hilo,US,2021-09-22 16:05:58,19.7297,-155.09,73.27,89,90,0.0
22,Menongue,AO,2021-09-22 16:10:44,-14.6585,17.691,94.42,8,37,9.46
23,Kamen-Rybolov,RU,2021-09-22 16:10:44,44.7481,132.0403,54.68,93,100,12.55
24,Ugoofaaru,MV,2021-09-22 16:10:44,5.6667,73.0,82.63,78,96,16.73
25,Torbay,CA,2021-09-22 16:10:44,47.6666,-52.7314,74.75,41,79,13.49
26,Burns Lake,CA,2021-09-22 16:10:45,54.2331,-125.7533,46.27,84,20,4.56
27,Ilulissat,GL,2021-09-22 16:10:45,69.2167,-51.1,22.05,80,22,3.91
28,Port Alfred,ZA,2021-09-22 16:10:45,-33.5906,26.891,63.88,78,0,23.89
29,Kapaa,US,2021-09-22 16:10:45,22.0752,-159.319,77.32,76,20,1.01
30,Rikitea,PF,2021-09-22 16:10:46,-23.1203,-134.9692,73.53,70,0,19.6
31,Puerto Ayora,EC,2021-09-22 16:10:46,-0.7393,-90.3518,70.79,82,97,11.52
32,Las Choapas,MX,2021-09-22 16:10:46,17.9333,-94.0833,87.85,81,86,10.42
33,Punta Arenas,CL,2021-09-22 16:10:47,-53.15,-70.9167,55.51,62,0,23.02
34,Tuatapere,NZ,2021-09-22 16:10:47,-46.1333,167.6833,38.82,86,4,3.94
35,Vaini,TO,2021-09-22 16:10:47,-21.2,-175.2,71.76,94,75,6.91
36,Mataura,NZ,2021-09-22 16:10:47,-46.1927,168.8643,38.48,97,3,1.41
37,Amahai,ID,2021-09-22 16:08:08,-3.3333,128.9167,77.02,89,99,4.07
38,Bonavista,CA,2021-09-22 16:10:48,48.6499,-53.1147,63.27,56,57,8.63
39,Ciudad Guayana,VE,2021-09-22 16:10:48,8.3533,-62.6528,90.52,57,76,3.62
40,Georgetown,MY,2021-09-22 16:09:43,5.4112,100.3354,81.9,68,20,0.0
41,Bluff,NZ,2021-09-22 16:10:48,-46.6,168.3333,38.8,84,16,8.21
42,Asau,RO,2021-09-22 16:10:48,46.4333,26.4,50.76,82,100,0.96
43,Gidole,ET,2021-09-22 16:10:49,5.65,37.3667,66.87,53,82,2.13
44,Yerbogachen,RU,2021-09-22 16:10:49,61.2767,108.0108,35.31,72,48,3.83
45,Kahului,US,2021-09-22 16:10:49,20.8947,-156.47,75.22,76,20,14.97
46,Cayenne,GF,2021-09-22 16:10:50,4.9333,-52.3333,91.44,74,75,5.99
47,Klyuchi,RU,2021-09-22 16:10:50,52.2667,79.1667,41.76,57,98,4.92
48,Milkovo,RU,2021-09-22 16:10:50,54.7167,158.6167,36.43,88,11,2.42
49,Saint Anthony,US,2021-09-22 16:10:50,45.0205,-93.218,65.86,57,1,1.01
50,Albany,US,2021-09-22 16:10:51,42.6001,-73.9662,77.67,85,100,6.62
51,Soe,ID,2021-09-22 16:10:51,-9.8607,124.284,64.62,87,50,5.73
52,Methoni,GR,2021-09-22 16:10:51,36.8197,21.7049,81.21,68,41,17.76
53,Gat,IL,2021-09-22 16:10:51,31.61,34.7642,81.81,100,1,10.36
54,Jambi,ID,2021-09-22 16:10:52,-1.6,103.6167,78.06,85,96,2.77
55,Maragogi,BR,2021-09-22 16:10:52,-9.0122,-35.2225,83.1,68,9,11.86
56,Berlevag,NO,2021-09-22 16:10:52,70.8578,29.0864,46.4,76,100,42.9
57,Ngunguru,NZ,2021-09-22 16:10:53,-35.6167,174.5,60.17,96,100,29.04
58,Tasiilaq,GL,2021-09-22 16:10:53,65.6145,-37.6368,35.76,51,0,5.48
59,Alugan,PH,2021-09-22 16:10:53,12.2188,125.4808,81.3,79,98,3.98
60,Kysyl-Syr,RU,2021-09-22 16:10:53,63.8986,122.7617,46.2,79,100,4.76
61,Dikson,RU,2021-09-22 16:10:54,73.5069,80.5464,35.26,99,100,9.93
62,Faya,SA,2021-09-22 16:10:54,18.3851,42.4509,70.32,43,81,0.74
63,Castro,BR,2021-09-22 16:06:45,-24.7911,-50.0119,65.48,47,68,9.4
64,Candido De Abreu,BR,2021-09-22 16:10:54,-24.5669,-51.3333,78.75,37,30,5.99
65,Tirat Karmel,IL,2021-09-22 16:10:55,32.7617,34.9719,81.95,69,40,8.05
66,Busselton,AU,2021-09-22 16:10:55,-33.65,115.3333,56.08,93,2,9.75
67,Airai,TL,2021-09-22 16:10:55,-8.9266,125.4092,56.8,69,81,3.6
68,Qaanaaq,GL,2021-09-22 16:10:56,77.484,-69.3632,13.78,60,12,7.0
69,Nikolskoye,RU,2021-09-22 16:10:56,59.7035,30.7861,46.29,67,87,6.02
70,Berdigestyakh,RU,2021-09-22 16:10:56,62.0989,126.6992,41.31,78,7,7.16
71,Saint-Philippe,RE,2021-09-22 16:10:56,-21.3585,55.7679,69.35,74,47,11.34
72,Paamiut,GL,2021-09-22 16:10:57,61.994,-49.6678,37.8,61,100,0.56
73,Jamestown,US,2021-09-22 16:06:28,42.097,-79.2353,72.99,94,90,11.99
74,Aksha,RU,2021-09-22 16:10:57,50.2814,113.2867,51.19,96,100,7.27
75,Esperance,AU,2021-09-22 16:10:57,-33.8667,121.9,57.11,76,0,3.89
76,Khatanga,RU,2021-09-22 16:10:57,71.9667,102.5,33.98,97,100,12.62
77,Sinnamary,GF,2021-09-22 16:10:58,5.3833,-52.95,82.83,77,66,7.54
78,Cabo San Lucas,MX,2021-09-22 16:06:16,22.8909,-109.9124,89.62,66,1,3.44
79,Touros,BR,2021-09-22 16:10:58,-5.1989,-35.4608,86.9,59,27,11.43
80,Sharon,US,2021-09-22 16:10:58,41.2331,-80.4934,75.85,83,90,13.8
81,Zyryanka,RU,2021-09-22 16:10:59,65.75,150.85,28.09,76,90,2.82
82,San Lazaro,BZ,2021-09-22 16:10:59,18.0387,-88.6622,85.78,76,73,4.14
83,Kavieng,PG,2021-09-22 16:10:59,-2.5744,150.7967,81.18,80,100,12.66
84,Mount Isa,AU,2021-09-22 16:10:59,-20.7333,139.5,58.77,20,0,6.91
85,Codrington,AU,2021-09-22 16:11:00,-38.2667,141.9667,53.02,73,84,14.63
86,Celestun,MX,2021-09-22 16:11:00,20.8667,-90.4,85.6,64,22,11.61
87,Upernavik,GL,2021-09-22 16:11:00,72.7868,-56.1549,22.46,53,20,5.14
88,Yellowknife,CA,2021-09-22 16:11:01,62.456,-114.3525,46.92,100,90,6.91
89,Vostok,RU,2021-09-22 16:11:01,46.4856,135.8833,50.23,98,100,4.25
90,Majene,ID,2021-09-22 16:11:01,-3.5403,118.9707,76.93,89,100,12.73
91,Itarema,BR,2021-09-22 16:11:02,-2.9248,-39.9167,88.54,55,56,15.35
92,San Cristobal,VE,2021-09-22 16:11:02,7.7669,-72.225,86.18,51,88,7.0
93,Taoudenni,ML,2021-09-22 16:11:02,22.6783,-3.9836,110.77,5,0,4.43
94,Lebu,CL,2021-09-22 16:11:03,-37.6167,-73.65,54.32,64,90,3.76
95,Jalu,LY,2021-09-22 16:11:03,29.0331,21.5482,97.45,12,0,6.38
96,Blagoyevo,RU,2021-09-22 16:11:03,63.3667,47.9167,39.9,83,15,4.27
